partition 1 (mean = 0.077100)       partition 2 (mean = 0.087917)
6.817082642513663804e-02             7.309479041182870285e-02
4.554640471321287631e-02             7.882948749608202632e-02
6.091581685439334537e-02             1.295453279306286176e-01
7.836736114719669577e-02             8.699031617510236125e-02
8.436974304559248516e-02             8.669716047864915731e-02
1.196066601651655931e-01             7.641489387618675966e-02
9.664465974362475287e-02             1.136546796806918586e-01
8.327340272760720696e-02             6.903827490607665485e-02
1.117183968955875739e-01             1.075397372057517592e-01
7.783944801856552964e-02             7.892191787352595411e-02
7.232838137534604306e-02             7.879095627489449138e-02
8.145631387251833777e-02             8.659505444489333514e-02
7.508438137922052169e-02             8.135936477453126203e-02
1.008996773439782557e-01             7.223336844378563937e-02
3.236009311171803016e-02             1.275001523476000376e-01
8.979004484643957062e-02             7.776604584858157199e-02
1.664406530719969579e-01             7.323872966850494826e-02
6.666434231735511584e-02             1.002716192417700686e-01
7.281735498167674070e-02             9.464824991764257678e-02
7.550750406367179313e-02             6.365842074380952120e-02
7.172282258596016091e-02             8.146436774547979875e-02
1.289750775789232362e-01             5.140630475006674471e-02
7.139795738773360712e-02             5.789068611825715083e-02
4.134763919731530152e-02             5.620559511529631819e-02
4.572439488138123342e-02             5.660360783808703750e-02
6.465757303436472925e-02             8.100914269313451432e-02
5.808654936973354360e-02             6.944994908589437188e-02
1.383069809826034391e-01             7.369643002897237338e-02
6.393543998946199514e-02             9.424524209806062203e-02
5.454908966952628363e-02             5.566118627390211765e-02
7.569506538210771240e-02             7.823220867657114386e-02
7.370842942689231903e-02             7.040706050754694245e-02
5.246723804250779527e-02             8.348733986248479955e-02
1.113177570496260704e-01             6.928737994211306428e-02
7.844736287695178167e-02             5.422797339341129536e-02
7.724874552750923828e-02             6.148614319397374683e-02
6.677941100911002903e-02             6.567691168394271251e-02
5.943700822391492777e-02             1.475584734404411513e-01
1.030396683630521171e-01             7.321276452782113364e-02
8.816221043394853463e-02             1.374752906705914712e-01
5.947897755356939403e-02             7.486055174145943292e-02
8.434125046584008134e-02             9.454945569152202467e-02
7.926002582236416072e-02             8.847871598739721899e-02
6.157527784714426911e-02             8.392876223178374895e-02
5.019534425274584100e-02             6.726623117096496018e-02
6.373131169831577902e-02             7.149861726298614717e-02
7.000611914691184934e-02             7.121888609872287224e-02
5.540517513461058058e-02             9.407206347836384597e-02
6.937974393841016274e-02             7.503488139069942886e-02
6.587660974586133367e-02             7.967767028503049132e-02
6.329167757931764005e-02             7.736178887452337116e-02
1.050718127024776599e-01             3.408623893401635518e-01
6.758199986873915377e-02             7.039654618296785349e-02
8.188514264461269065e-02             9.461657939070496071e-02
3.330017113661616623e-02             3.866358792820907830e-02
7.135285174300051714e-02             7.644732095224204826e-02
6.058554560612118556e-02             7.330206999179067484e-02
5.409336323432020061e-02             5.042588085089579064e-02
9.994502232872801151e-02             7.770652719042195344e-02
4.745851737127858988e-02             5.766267096547479654e-02
1.051249370467291777e-01             3.270490731707721421e-01
5.990626211272291612e-02             7.350576056808889869e-02
7.248548132648764686e-02             1.003231725107134181e-01
1.444694531716089747e-01             8.809695951666778047e-02
1.062885385684511352e-01             8.021106894184149017e-02
1.118689585275319670e-01             4.981246244145815655e-02
5.164872268474709344e-02             9.880363154737090148e-02
6.869565559785076325e-02             6.224445341626469452e-02
6.518393625697456450e-02             7.851775428373478083e-02
8.628238604574564596e-02             7.991221905640555345e-02
7.659635414899636230e-02             5.736309086866791390e-02
1.853220258981775892e-01             8.441936834157254266e-02
6.153413103340168305e-02             6.500691248399755040e-02
6.567688602529826725e-02             8.152001441344103316e-02
5.523674214772179847e-02             1.131606510955541767e-01
7.205305295937747267e-02             9.423463753054647785e-02
5.826520914085078773e-02             6.249409818467899225e-02
5.890262936174254366e-02             7.194564917252455061e-02
8.928441072708942494e-02             5.510314830981437317e-02
6.828520744831853562e-02             8.321543528471667117e-02
6.929691709633650776e-02             8.386197375015076727e-02
6.378098702263863828e-02             9.173752245342298162e-02
1.108631838130150760e-01             8.280852646247352511e-02
4.141454591214843023e-02             1.151854988809623559e-01
1.011434865926460341e-01             1.070841236416841535e-01
1.169471269309542982e-01             8.546706672615750344e-02
5.294724229704932117e-02             5.967993423482449711e-02
6.251169152607717605e-02             8.452733781872885654e-02
1.261259315908848377e-01             7.237026881389869992e-02
1.008369532891316284e-01             6.153280232684833762e-02
9.287555325700632552e-03             9.221897154434513522e-03
5.844121231110456505e-02             7.274927899486145766e-02
1.037483620469581286e-01             3.101690873653756286e-01
5.046586609058133222e-02             7.724794144645980021e-02
1.295632012582651760e-01             7.512771993745902266e-02
6.070758746935438904e-02             6.319573272639690542e-02
9.874573747886676578e-02             8.041345125986537612e-02
1.376724908372530254e-01             6.273289885631731788e-02
8.344078097463807075e-02             1.200477341534900572e-01
1.086873747825813363e-01             7.553020793231926544e-02
7.604926034769894649e-02             9.291965951758764108e-02
4.574687865299912476e-02             8.014221407189846269e-02
9.816265649791053316e-02             1.034496982376431479e-01
1.010187790954464315e-01             5.014304925706260935e-02
6.946146339919792578e-02             8.230459269208002804e-02
2.087712715138401523e-02             1.474421600017913198e-02
8.103249586907899926e-02             7.246298789789573647e-02
7.143697393414782937e-02             9.633800755893871803e-02
1.074419741013506041e-01             6.928638026061867405e-02
9.445634280021411588e-02             1.314670755155328274e-01
8.880212885740089435e-02             1.043588025606615455e-01
9.654406420303190961e-02             1.262863941826797010e-01
7.734778430766027502e-02             7.565328867024455339e-02
8.243878332999685088e-02             1.002019031829771839e-01
