partition 1 (mean = 0.134930)       partition 2 (mean = 0.090506)
1.395728610472758702e-01             6.386633364099482402e-02
2.444076454732151127e-01             1.702622314395748349e-01
1.320161150729750044e-01             1.129558750998019279e-01
1.220601096520716189e-01             8.119601382607427587e-02
9.017989476195394094e-02             8.440489165035026942e-02
1.248259827486380702e-01             8.256332945384001198e-02
1.026109329106018736e-01             8.644187586199592044e-02
1.056495402016742191e-01             6.687826007859706823e-02
9.575479945161292916e-02             6.132935950704040268e-02
1.626785281969585217e-01             7.919938076845939312e-02
1.735660971792804541e-01             8.843116588963403912e-02
2.131316994838804435e-01             6.208732560776205472e-02
2.097445041087664108e-01             1.078532358853613871e-01
9.340736699143763200e-02             7.045822752809906275e-02
1.732452087515097827e-01             1.370884501878416872e-01
1.207554391612290640e-01             8.862804306246307995e-02
1.298232786897538515e-01             9.060790050182006283e-02
1.339758921685878790e-01             1.205326138548544757e-01
1.726225411344916028e-01             1.105894505080464579e-01
1.701714932066934194e-01             1.141281444473151024e-01
1.644241654379426099e-02             9.426570849168029731e-03
1.929376676831722481e-01             5.646901473129559146e-02
2.395623044556160486e-01             1.004022238261660649e-01
1.918522664220608243e-01             9.430647480868505073e-02
1.309791827209565163e-01             9.642378108549135018e-02
1.130253822055322793e-01             7.989634401654122087e-02
1.390006199064003356e-01             9.770468758422157229e-02
1.684682345076581600e-01             9.409806690065700141e-02
1.879926205151830065e-01             1.093383698967804463e-01
1.272389117394895075e-01             9.559454671394955472e-02
1.986488003570255900e-01             5.519029270192444409e-02
1.234916498128242057e-01             6.784821793987949601e-02
1.461177467008198949e-01             8.285649039210238320e-02
1.172792800958018106e-01             5.933147973153747590e-02
1.497018482343062673e-01             7.869210182339868298e-02
4.106227422080073464e-02             2.267961210133231931e-02
1.279747164238671242e-01             7.588741085453860891e-02
1.332442927158980495e-01             1.171869214538381609e-01
1.208775295609679917e-01             8.410062890368666388e-02
1.572172235528625783e-01             7.595178759518333989e-02
1.749951601799215328e-01             5.231981470928789152e-02
2.632676430516283639e-01             6.452661445585936018e-02
1.270668813241436768e-01             5.529148545572905304e-02
1.492524828594163633e-01             1.352265970567583797e-01
8.889175137269378357e-02             1.070831903074355856e-01
1.620002210912031559e-01             8.715361745857971854e-02
2.130809990038702029e-01             1.148656746684050822e-01
1.287890691043640234e-01             8.589039649034664603e-02
1.266194914603369637e-01             9.089620072352913582e-02
1.202340339656949794e-03             2.134078724648894899e-03
1.406616886745638006e-01             7.094285766750113575e-02
1.242593158244100077e-01             6.786601929528003618e-02
1.338941645256768731e-01             7.940330342988437262e-02
1.276334642396110830e-01             1.633650673583965929e-01
1.508686143576099536e-01             5.319515903328594919e-02
1.409898900685075951e-01             1.145979742176733013e-01
8.169973849646151864e-02             5.927818125731680599e-02
1.072510042429233729e-01             6.120242763888568416e-02
1.597905880068659912e-01             1.075368467449647064e-01
1.227237178207041257e-01             7.538422858989270170e-02
1.280597015660425164e-01             6.379315229605217463e-02
1.082375391246301333e-01             9.658769524912313997e-02
1.342230388209605663e-01             7.758426552114851271e-02
9.693930410432019529e-02             7.992292648322318893e-02
1.270356134837165585e-01             5.943908207361343898e-02
1.830096231247838323e-01             1.074005111258021089e-01
1.617682258018580677e-01             1.197669411058337463e-01
5.752043836649053943e-02             6.305664417818836187e-02
1.584511648788960170e-01             9.706515082753447432e-02
7.473293527669143399e-02             6.415986725944171354e-02
1.625017768518951800e-01             1.211353947369043088e-01
4.329611906935638965e-02             1.055390084354633669e-02
2.423728734021081688e-01             8.344500239914579010e-02
2.607763234263263397e-01             8.324789729084133838e-02
8.651567307552911201e-02             9.869763227604713696e-02
1.342382159399485575e-01             5.070471402227623436e-02
1.401302407761219615e-01             6.819232414605413961e-02
1.503691988189225781e-01             8.594719735999241383e-02
1.742624893710690015e-01             1.294040532998750326e-01
1.335664828675419413e-01             5.221895068589597899e-02
8.021803107890899953e-02             6.881141078878433293e-02
1.099195669050312962e-01             6.106502447413816176e-02
1.355432965337992346e-01             1.094539501514207452e-01
1.430844498675339915e-01             6.840291730515576929e-02
1.818427099823054782e-01             7.842502861243678958e-02
3.487721877100650320e-02             1.168130772323780660e-02
1.416538230868041037e-01             7.561739114306130494e-02
1.746899622074027381e-01             6.390785975652528428e-02
1.525817430545368947e-01             6.683533108489235486e-02
1.417351515840526710e-01             9.690017391135533065e-02
1.999480203024781855e-01             9.288302346787073727e-02
1.001404830192095530e-01             6.509015817049158825e-02
1.050688212661427118e-01             8.145764691540699487e-02
2.095219093596118465e-01             7.318189700556253230e-02
1.247868601537719946e-01             9.275325090521739646e-02
1.670083824902911518e-01             1.003423805680071362e-01
1.160803208306170620e-01             9.017908981705682891e-02
1.125342097221406212e-01             6.430988365103160187e-02
1.754185983967720408e-01             1.002730477158256250e-01
1.254503866601638096e-01             8.714503403718044938e-02
9.442614992124920281e-02             1.735135669087461141e-01
6.826041294098249279e-02             5.263451790906837485e-02
1.812242087756598397e-01             8.186676903397444027e-02
1.492428396266728130e-01             7.188873903860429349e-02
7.272401297673967979e-02             6.229926619714126756e-02
9.264835415639634253e-02             6.748610470097898828e-02
1.553564000039141801e-01             1.448867365258741935e-01
1.778809814427719793e-01             6.428832585321191118e-02
1.633039881656234427e-01             1.165962699318384144e-01
2.054904954706607001e-01             1.345937840837498622e-01
1.742467484294827063e-01             1.325818211673550906e-01
1.106193967424133479e-01             5.555575417269836835e-02
1.621660613654947181e-01             1.012707894077975734e-01
1.335411255781881745e-01             1.005027110273503804e-01
1.052910199096021571e-01             9.021362181275204006e-02
8.166278973699461763e-02             3.889814356552137586e-02
